Title	Authors	Year	URL	Scale	Scale Category	Interaction modality	Input distribution	Output distribution	Feedback attributability	Activity type	Participation symmetry
21 Obstacles	Daily Tous Les Jours	2012	http://www.dailytouslesjours.com/project/21-obstacles/	50	medium	facilitated	fully distributed	centralized	high	collaborative	asymmetrical
Fearful Symmetry	Ruairi Glynn	2012	http://www.ruairiglynn.co.uk/portfolio/fsymmetry/	20	medium	ambient	centralized	centralized	low	solitary	symmetrical
Growth 	Jeffrey Nusz	2012	https://vimeo.com/49294392	5	small	ambient	centralized	centralized	high	solitary	symmetrical
In order to control	Nota Bene	2012	http://www.notabenevisual.com/works/in-order-to-control/	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Photophore	Kollision	2012	http://kollision.dk/en/photophore	10	small	facilitated	fully distributed	centralized	high	solitary	symmetrical
PixelPyros 	Seb Lee-Delisle	2012	http://seb.ly/work/pixelpyros/	16	medium	direct	centralized	centralized	high	solitary	symmetrical
Rain Room	Random International 	2012	http://random-international.com/work/rainroom/	30	medium	ambient	centralized	centralized	high	solitary	symmetrical
The Pool	Jen Lewin	2012	http://jenlewinstudio.com/the-pool	100	large	direct	fully distributed	fully distributed	high	collaborative	symmetrical
Airborne Projection	Rafael Lozano-Hemmer	2013	http://www.lozano-hemmer.com/airborne_projection.php	30	medium	ambient	centralized	centralized	high	solitary	symmetrical
Illuminations	Vibeke Sorensen	2013	http://vibeke.info/illuminations/	10	small	facilitated	fully distributed	centralized	low	solitary	symmetrical
Urban Canvas	Kollision	2013	http://kollision.dk/en/urban-canvas	200	large	facilitated	fully distributed	centralized	high	solitary	symmetrical
Cinéma émotif	Marie-Laure Cazin	2014	https://www.stereolux.org/les-thematiques/creation-numerique/cinema-emotif	2	small	facilitated	fully distributed	centralized	low	solitary	symmetrical
Mini Burble	Umbrellium	2014	http://www.haque.co.uk/burble.php#mini_burble	10	small	facilitated	fully distributed	centralized	high	solitary	asymmetrical
Overexposure	Samuel Bianchini	2014	http://www.surexposition.net/	500	large	facilitated	fully distributed	partially distributed	high	solitary	symmetrical
Unnumbered Sparks	Janet Echelman & Aaron Koblin	2014	http://www.unnumberedsparks.com/	500	large	facilitated	fully distributed	partially distributed	medium	solitary	symmetrical
1984x1984	Rafael Lozano-Hemmer	2015	http://www.lozano-hemmer.com/1984x1984.php	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Aspect (white)	Random International	2015	http://random-international.com/work/aspect-white/	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Collective Loops	CoSiMa	2015	http://cosima.ircam.fr/2015/11/25/collective-loops-forum-workshops/	8	small	facilitated	fully distributed	partially distributed	high	collaborative	symmetrical
Ego	Klaus Obermaier	2015	http://www.exile.at/ego/index.html	2	small	ambient	centralized	centralized	high	solitary	symmetrical
Mobilisation	Samuel Bianchini	2015	http://dispotheque.org/fr/mobilisation	103	large	facilitated	fully distributed	partially distributed	high	solitary	symmetrical
Primary Forms	Mark Eats	2015	https://vimeo.com/166769852	10	small	ambient	centralized	centralized	low	solitary	symmetrical
Quantum Space	Igor Tatarnikov	2015	http://kuflex.com/Quantum-Space	50	medium	ambient	centralized	centralized	high	solitary	symmetrical
The Grid	Abducto	2015	http://abducto.tumblr.com/The_Grid	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Tourmente	Jean Dubois	2015	http://www.jeandubois.info/blog/project/tourmente/	12	medium	facilitated	fully distributed	centralized	high	solitary	symmetrical
Zoom Pavilion	Rafael Lozano-Hemmer	2015	http://www.lozano-hemmer.com/zoom_pavilion.php	50	medium	ambient	centralized	centralized	high	solitary	symmetrical
Centon digital	Christophe Domino	2016	http://cosima.ircam.fr/2016/06/23/collective-mobile-mapping-montpellier-danse/	200	large	facilitated	fully distributed	partially distributed	high	solitary	symmetrical
Crystal Universe	teamLab	2016	https://www.teamlab.art/w/dmm-crystaluniverse	50	medium	facilitated & ambient	partially distributed	centralized	medium	solitary	symmetrical
Espace^Espace	Dominique Cunin	2016	http://cosima.ircam.fr/2016/06/23/collective-mobile-mapping-montpellier-danse/	200	large	facilitated	fully distributed	partially distributed	high	collaborative	symmetrical
Infinity	teamLab	2016	https://www.teamlab.art/w/koi_and_people	100	large	ambient	centralized	centralized	medium	solitary	symmetrical
Let's Play	Kollision	2016	http://kollision.dk/en/lets-play	2	small	facilitated	fully distributed	centralized	high	competitive	symmetrical
Magic Carpets	Miguel Chevalier	2016	http://www.miguel-chevalier.com/en/magic-carpets-1	500	large	ambient	centralized	centralized	medium	solitary	symmetrical
Mesa Musical Shadows	Daily Tous Les Jours	2016	http://www.dailytouslesjours.com/project/mesa-musical-shadows/	20	medium	direct	centralized	centralized	medium	solitary	symmetrical
Onda Pixel	Miguel Chevalier	2016	http://www.miguel-chevalier.com/en/onde-pixel	200	large	ambient	centralized	centralized	medium	solitary	symmetrical
People on the Fly	Christa Sommerer & Laurent Mignonneau	2016	http://www.interface.ufg.ac.at/christa-laurent/WORKS/FRAMES/FrameSet.html	20	medium	ambient	centralized	centralized	high	solitary	symmetrical
Flowers Bloom on People	teamLab	2017	https://www.teamlab.art/w/flowersbloom-on-people	20	medium	ambient	centralized	centralized	high	solitary	symmetrical
